"","Towns.by.Size","County","TownSize","PersonsPerSqKm","TotalPopulation","AllHouseholds","Household_Income","Avg_Rent","PC_ICTOwnsPC","PC_ICTInternet","PC_HeatingNoCentral","PC_SeweragePublic","PC_SewerageIndSeptic","RentIncomeRatio","PeoplePerHouse"
"146","Banagher","OY","< 2K",961.1,1760,674,34944,547.24,0.587537091988131,0.689910979228487,0.00445103857566766,0.937685459940653,0.0341246290801187,0.187925824175824,2.61127596439169
"147","Kilmallock","L","< 2K",827.2,1668,652,31283,551.76,0.535276073619632,0.648773006134969,0.0245398773006135,0.785276073619632,0.173312883435583,0.211652335134098,2.55828220858896
"148","Strandhill","SO","< 2K",1517.4,1753,659,52537,761.77,0.775417298937785,0.854324734446131,0.00606980273141123,0.895295902883156,0.0561456752655539,0.173996231227516,2.66009104704097
"149","Dunmanway","C","< 2K",910.9,1655,694,34980,618.46,0.569164265129683,0.677233429394813,0.0201729106628242,0.917867435158501,0.0475504322766571,0.212164665523156,2.38472622478386
"150","Millstreet","C","< 2K",762.5,1555,650,38296,577.09,0.633846153846154,0.707692307692308,0.0153846153846154,0.88,0.0738461538461539,0.180830373929392,2.39230769230769
"151","Ballymahon","LD","< 2K",1140.9,1877,729,31424,451.38,0.602194787379973,0.735253772290809,0.0164609053497942,0.883401920438957,0.0260631001371742,0.17237016293279,2.57475994513032
"152","Cloyne","C","< 2K",1909.7,1803,628,46463,757.51,0.68312101910828,0.799363057324841,0.0207006369426752,0.859872611464968,0.0875796178343949,0.195642123840475,2.87101910828025
"153","Dunmore East","W","< 2K",912,1808,673,38977,644.03,0.729569093610698,0.796433878157504,0.025260029717682,0.893016344725111,0.0638930163447251,0.198280011288709,2.68647845468053
"154","Moycullen","G","< 2K",1243.5,1704,593,54153,801.12,0.799325463743676,0.885328836424958,0.00505902192242833,0.809443507588533,0.116357504215852,0.177523682898454,2.87352445193929
"155","Rosslare","WX","< 2K",663.4,1620,551,30998,613.59,0.713248638838475,0.803992740471869,0.0217785843920145,0.921960072595281,0.043557168784029,0.237534034453836,2.94010889292196
"156","Fethard","T","< 2K",1016.5,1545,654,31051,573.8,0.516819571865443,0.665137614678899,0.0397553516819572,0.937308868501529,0.0397553516819572,0.22175131235709,2.36238532110092
"157","Ballymote","SO","< 2K",969.6,1549,660,28297,486.58,0.596969696969697,0.686363636363636,0.0181818181818182,0.933333333333333,0.0196969696969697,0.206345548998127,2.3469696969697
"158","Rathcormac","C","< 2K",2069.4,1762,616,49322,685.23,0.685064935064935,0.850649350649351,0.0178571428571429,0.896103896103896,0.0535714285714286,0.166715867158672,2.86038961038961
"159","Collooney","SO","< 2K",1325.3,1610,632,35660,551.53,0.615506329113924,0.762658227848101,0.0110759493670886,0.895569620253165,0.0300632911392405,0.185596186203029,2.54746835443038
"160","Castlemartyr","C","< 2K",2115.4,1600,571,44087,698.32,0.656742556917688,0.796847635726795,0.0157618213660245,0.887915936952715,0.0595446584938704,0.190075078821421,2.80210157618214
