"","Towns.by.Size","County","TownSize","PersonsPerSqKm","TotalPopulation","AllHouseholds","Household_Income","Avg_Rent","PC_ICTOwnsPC","PC_ICTInternet","PC_HeatingNoCentral","PC_SeweragePublic","PC_SewerageIndSeptic","RentIncomeRatio","PeoplePerHouse"
"20","Malahide","D","5K-20K",2850.3,16550,5753,78631,1572.97,0.859725360681384,0.922822875021728,0.00417173648531201,0.957239701025552,0.0112984529810534,0.240053414047895,2.87675995132974
"21","Leixlip","KE","5K-20K",3138.9,15504,5219,63106,1190.83,0.811458133742096,0.913010155202146,0.0053650124544932,0.965127419045794,0.00421536692853037,0.226443761290527,2.97068403908795
"22","Carrigaline","C","5K-20K",3430.1,15770,5219,59353,907.39,0.801302931596091,0.896915117838666,0.0040237593408699,0.949798812032956,0.023567733282238,0.183456270112715,3.02165165740563
"23","Tullamore","OY","5K-20K",1101.5,14607,5306,38423,615.95,0.62532981530343,0.751978891820581,0.00829249905767056,0.906709385601206,0.0265736901620807,0.1923691538922,2.75292122125895
"24","Killarney","KY","5K-20K",1796.3,14504,4542,38560,702.82,0.644870101276971,0.746147071774549,0.0132100396301189,0.886613826508146,0.0387494495816821,0.218719917012448,3.19330691325407
"25","Arklow","WW","5K-20K",2492.5,13163,4845,37726,730.7,0.665428276573787,0.785552115583075,0.0179566563467492,0.906707946336429,0.012796697626419,0.232423262471505,2.71682146542828
"26","Maynooth","KE","5K-20K",2818.8,14585,4673,64529,1227.95,0.796276481917398,0.911833939653328,0.00449390113417505,0.941793280547828,0.0089878022683501,0.228353143547862,3.12112133533062
"27","Cobh","C","5K-20K",2521.9,12800,4707,43630,713.96,0.68578712555768,0.8102825578925,0.018058211174846,0.912258338644572,0.0301678351391545,0.196367636947055,2.71935415338857
"28","Castlebar","MO","5K-20K",1534.8,12068,4738,37271,557.44,0.668425495989869,0.772055719712959,0.013507809202195,0.94596876319122,0.011397214014352,0.179476805022672,2.5470662726889
"29","Midleton","C","5K-20K",1611.6,12496,4485,44382,793.26,0.689855072463768,0.811371237458194,0.0156075808249721,0.911482720178372,0.0202898550724638,0.214481546572935,2.78617614269788
"30","Mallow","C","5K-20K",1517.9,12459,4625,38808,679.38,0.642162162162162,0.756108108108108,0.0105945945945946,0.904,0.0378378378378378,0.210074211502783,2.69383783783784
"31","Ashbourne","MH","5K-20K",3847.6,12679,4108,58257,1074.48,0.772151898734177,0.900194741966894,0.00365141187925998,0.935491723466407,0.00827653359298929,0.221325505947783,3.08641674780915
"32","Ballina","MO","5K-20K",1508.9,10171,3969,32779,545.5,0.590576971529353,0.72008062484253,0.0146132527084908,0.948349710254472,0.0123456790123457,0.199701028097257,2.5626102292769
"33","Enniscorthy","WX","5K-20K",1977.2,11381,4318,31049,557.07,0.540296433534044,0.695229272811487,0.0229272811486799,0.921723019916628,0.0467809170912459,0.215299687590583,2.63571097730431
"34","Wicklow","WW","5K-20K",2015.2,10584,3796,45659,1021.69,0.741833508956797,0.836143308746048,0.017650158061117,0.964699683877766,0.0123814541622761,0.268518364396943,2.7881981032666
"35","Tramore","W","5K-20K",1799.5,10381,3802,41850,600.59,0.736454497632825,0.833245660178853,0.011572856391373,0.960284061020516,0.0110468174644924,0.172212186379928,2.7304050499737
"36","Athy","KE","5K-20K",1557.5,9677,3644,34286,659.66,0.58781558726674,0.743962678375412,0.015642151481888,0.913282107574094,0.0216794731064764,0.2308790760077,2.65559824368825
"37","Shannon","CE","5K-20K",1387.5,9729,3678,41841,608.07,0.717781402936378,0.831430125067972,0.011963023382273,0.943447525829255,0.00625339858618815,0.174394493439449,2.64518760195759
"38","Skerries","D","5K-20K",3101.4,10043,3527,58875,1147.61,0.791891125602495,0.866175219733485,0.00680464984406011,0.962290898780834,0.00793875815140346,0.233907770700637,2.84746243266232
"39","Longford","LD","5K-20K",1387.3,10008,3778,29224,465.02,0.583906829010058,0.706458443620963,0.0182636315510852,0.913975648491265,0.0166754896770778,0.190947166712291,2.64902064584436
"40","Dungarvan","W","5K-20K",2050.7,9227,3552,35364,582.14,0.613738738738739,0.741554054054054,0.0143581081081081,0.934403153153153,0.00816441441441441,0.197536477774007,2.59769144144144
